,wB97X-D3,wB97X-V,B2-PLYP-D3BJ,CAM-B3LYP-D3BJ,wB97X-D3BJ,XCH-BLYP-UW12-D3BJ,B-LYP-osUW12-D3BJ,wB97X-MP2-D3BJ,PBE-D3BJ,WM21-D3BJ,wB97M-V,BLYP-D3BJ,B3LYP-D3BJ,PBE0-D3BJ,MP2,DSD-BLYP-D3BJ
03_C2H4_2,1035.27,,983.92,1013.27,1023.19,1018.91,1010.03,1050.71,938.96,996.16,,945.56,986.12,987.69,1106.79,990.77
03_C2H4_3,1097.75,,1071.75,1074.58,1078.9,1099.27,1088.62,1100.6,1035.0,1067.85,,1037.0,1065.13,1069.31,1141.39,1078.8
03_C2H4_4,1257.87,,1252.87,1253.49,1257.98,1267.87,1269.01,1290.53,1199.75,1245.87,,1215.92,1245.89,1238.2,1343.93,1258.9
03_C2H4_5,1393.94,,1384.66,1391.12,1396.64,1411.51,1406.33,1425.96,1339.28,1381.88,,1347.91,1381.18,1379.98,1474.45,1391.62
03_C2H4_6,1487.11,,1487.43,1484.84,1489.02,1500.94,1505.42,1528.44,1422.97,1474.24,,1445.97,1479.1,1466.38,1590.61,1494.59
03_C2H4_7,1723.39,,1687.47,1719.35,1730.31,1748.88,1729.72,1758.31,1641.01,1705.53,,1636.58,1689.22,1702.62,1817.04,1697.48
03_C2H4_8,3150.43,,3155.12,3147.1,3153.7,3224.43,3189.33,3193.32,3058.02,3126.59,,3051.58,3123.87,3141.31,3269.83,3176.74
03_C2H4_9,3169.76,,3168.98,3163.05,3172.0,3239.09,3204.8,3212.2,3070.78,3144.47,,3062.09,3136.53,3156.59,3290.14,3191.75
03_C2H4_10,3230.76,,3231.66,3220.66,3229.68,3306.23,3265.98,3268.33,3129.32,3202.78,,3115.21,3192.55,3217.81,3342.11,3257.4
03_C2H4_11,3255.27,,3258.71,3246.29,3254.64,3332.34,3292.39,3294.66,3157.4,3227.98,,3144.06,3220.49,3245.11,3370.47,3283.98
04_CCl2_0,347.77,,337.13,345.45,352.2,355.56,347.17,353.26,320.3,343.65,,311.45,332.16,340.83,362.08,343.85
04_CCl2_1,752.18,,724.07,740.49,759.28,768.36,748.74,761.44,698.55,747.61,,664.15,709.48,739.08,780.53,741.55
04_CCl2_2,802.14,,758.7,789.65,814.11,839.62,798.44,809.59,718.82,790.63,,671.47,733.82,789.07,847.77,782.77
07_Cl2_0,589.7,,555.26,569.15,587.43,599.82,574.46,594.56,538.44,580.39,,500.73,538.79,576.45,612.21,568.69
32_S2_0,766.23,,714.5,756.42,780.62,775.87,760.29,778.26,701.79,757.39,,667.53,714.47,751.76,820.0,729.43
02_C2H2_0,696.37,,635.92,702.17,720.48,701.85,687.75,748.59,588.39,680.02,,586.86,654.13,665.4,810.89,638.6
02_C2H2_1,696.37,,635.92,702.17,720.48,701.85,687.75,748.59,588.39,680.02,,586.86,654.13,665.4,810.89,638.6
02_C2H2_2,772.91,,761.3,776.15,787.4,783.52,786.14,812.26,732.89,768.79,,732.04,764.4,772.15,867.53,765.92
02_C2H2_3,772.91,,761.3,776.15,787.4,783.52,786.14,812.26,732.89,768.79,,732.04,764.4,772.15,867.53,765.92
02_C2H2_4,2090.25,,2026.33,2102.05,2112.56,2125.7,2102.59,2145.17,2008.25,2076.05,,2004.28,2066.62,2080.48,2211.07,2026.53
02_C2H2_5,3423.98,,3434.76,3423.98,3425.48,3498.74,3467.28,3470.14,3345.82,3399.61,,3346.82,3412.62,3423.64,3554.82,3451.19
02_C2H2_6,3526.6,,3526.21,3526.54,3529.37,3601.57,3567.8,3576.22,3441.07,3500.14,,3439.58,3510.51,3524.77,3664.51,3542.33
10_CO2_0,688.8,,667.84,688.72,695.74,699.19,692.62,722.84,642.24,676.11,,636.07,673.82,685.34,776.2,674.58
10_CO2_1,688.8,,667.84,688.72,695.74,699.19,692.62,722.84,642.24,676.11,,636.07,673.82,685.34,776.2,674.58
10_CO2_2,1398.11,,1345.54,1399.39,1407.91,1425.21,1405.41,1444.42,1321.37,1378.94,,1306.41,1371.17,1393.95,1511.34,1354.59
10_CO2_3,2445.55,,2395.38,2441.05,2447.14,2512.38,2464.04,2484.89,2356.2,2411.1,,2318.37,2406.42,2451.29,2555.05,2415.8
01_BH3_0,1167.25,,1172.55,1165.4,1165.38,1179.47,1181.86,1185.16,1123.18,1160.32,,1144.77,1162.47,1147.39,1223.27,1178.74
01_BH3_1,1203.62,,1224.75,1212.72,1217.48,1230.76,1236.93,1248.44,1155.78,1213.11,,1179.44,1205.28,1190.9,1293.65,1236.31
01_BH3_2,1210.94,,1225.61,1214.13,1218.69,1231.63,1237.72,1250.57,1157.49,1214.17,,1181.23,1206.77,1192.31,1293.74,1236.8
01_BH3_3,2559.41,,2587.76,2578.4,2574.77,2631.97,2605.34,2603.08,2501.98,2566.56,,2517.11,2560.76,2554.1,2638.85,2603.04
01_BH3_4,2696.29,,2719.3,2710.04,2706.75,2772.9,2735.68,2730.67,2636.79,2697.13,,2641.04,2688.08,2691.28,2755.79,2737.07
01_BH3_5,2697.14,,2720.32,2711.52,2707.87,2774.07,2736.77,2731.58,2638.22,2698.16,,2642.99,2689.8,2692.59,2755.8,2737.71
31_CH3OH_0,323.27,,293.58,288.67,288.03,301.28,295.35,298.62,291.78,292.7,,287.38,288.79,295.24,308.63,295.96
31_CH3OH_1,1081.27,,1055.02,1069.07,1076.34,1092.25,1084.4,1107.15,1014.72,1063.61,,982.97,1044.08,1064.91,1154.31,1068.88
31_CH3OH_2,1113.19,,1089.14,1099.31,1107.87,1149.91,1114.58,1130.62,1056.31,1093.17,,1048.21,1080.61,1107.93,1171.41,1099.14
31_CH3OH_3,1196.51,,1183.78,1183.5,1189.45,1208.43,1203.11,1223.54,1130.86,1175.56,,1134.78,1172.73,1175.76,1280.9,1193.87
31_CH3OH_4,1384.77,,1380.78,1374.66,1382.29,1393.2,1397.35,1420.17,1335.08,1374.12,,1338.46,1370.89,1375.69,1481.3,1389.59
31_CH3OH_5,1503.8,,1493.77,1491.51,1498.73,1513.66,1514.72,1542.84,1426.6,1482.69,,1441.11,1481.91,1477.4,1609.99,1504.22
31_CH3OH_6,1514.87,,1513.64,1504.87,1513.2,1527.71,1531.01,1555.72,1440.19,1499.14,,1456.45,1496.09,1491.18,1621.33,1526.07
31_CH3OH_7,1528.5,,1526.96,1518.08,1525.26,1543.04,1544.24,1565.9,1457.56,1511.55,,1471.86,1510.19,1506.32,1631.27,1538.83
31_CH3OH_8,3018.27,,3024.09,3018.04,3028.71,3086.5,3054.35,3065.0,2912.9,2998.81,,2909.9,2987.44,3003.6,3140.95,3048.49
31_CH3OH_9,3073.67,,3076.99,3066.41,3079.79,3141.95,3103.99,3113.66,2959.18,3048.52,,2948.83,3031.16,3055.73,3183.35,3106.29
31_CH3OH_10,3141.96,,3143.48,3132.24,3143.88,3208.82,3171.23,3177.25,3039.23,3113.37,,3028.11,3102.71,3126.5,3246.53,3169.92
31_CH3OH_11,3922.68,,3861.5,3880.55,3910.97,3985.56,3940.61,4020.11,3726.32,3862.98,,3685.68,3834.15,3895.45,4178.54,3896.51
13_CS_0,1361.13,,1282.12,1355.87,1374.47,1373.75,1348.79,1385.79,1258.96,1341.85,,1241.66,1305.54,1328.95,1423.69,1298.87
21_HF_0,4165.66,,4123.37,4117.32,4149.75,4240.12,4196.75,4285.73,3978.24,4108.89,,3931.31,4084.49,4157.3,4478.14,4163.48
26_N2O_0,638.47,,602.53,635.27,642.26,652.62,638.38,662.55,596.43,618.44,,579.68,618.48,639.69,716.22,608.13
26_N2O_1,638.47,,602.53,635.27,642.26,652.62,638.38,662.55,596.43,618.44,,579.68,618.48,639.69,716.22,608.13
26_N2O_2,1374.61,,1307.01,1359.49,1367.87,1410.15,1373.58,1376.78,1303.9,1340.14,,1262.45,1330.16,1377.24,1386.92,1323.13
26_N2O_3,2413.2,,2268.09,2399.59,2421.09,2458.94,2409.17,2465.8,2281.35,2354.02,,2224.34,2342.24,2406.51,2602.78,2277.41
33_SO_0,1224.2,,1129.38,1205.84,1227.83,1236.4,1221.14,1276.93,1107.29,1202.78,,1071.42,1152.87,1198.57,1345.06,1152.68
30_SO2_0,540.65,,514.82,537.62,545.68,540.63,540.43,570.6,493.16,531.11,,488.96,523.27,533.3,613.69,520.54
30_SO2_1,1249.02,,1142.12,1234.63,1256.89,1259.26,1238.48,1310.93,1116.56,1227.09,,1087.36,1182.02,1221.25,1386.84,1159.28
30_SO2_2,1451.94,,1351.87,1435.99,1458.26,1473.27,1445.79,1516.03,1311.47,1428.57,,1277.74,1381.01,1425.49,1591.26,1373.34
28_PH3_0,1021.16,,1024.84,1025.17,1028.96,1028.79,1042.91,1061.39,975.65,1025.35,,1001.26,1020.55,1002.22,1102.88,1029.63
28_PH3_1,1152.64,,1153.24,1152.42,1159.74,1166.95,1168.98,1191.13,1092.58,1152.47,,1108.45,1138.86,1131.37,1235.52,1163.5
28_PH3_2,1153.24,,1154.36,1153.85,1160.76,1168.12,1170.24,1193.64,1093.82,1154.41,,1110.32,1140.63,1132.5,1235.59,1164.23
28_PH3_3,2440.14,,2433.42,2434.86,2454.24,2493.64,2459.62,2482.7,2327.04,2434.03,,2311.87,2387.3,2411.63,2534.12,2461.08
28_PH3_4,2448.73,,2440.24,2440.01,2458.98,2503.1,2464.58,2486.21,2339.8,2439.42,,2319.47,2393.52,2422.58,2534.17,2468.49
28_PH3_5,2449.96,,2440.48,2440.36,2459.23,2503.39,2464.83,2486.39,2340.24,2439.72,,2319.99,2393.96,2422.91,2536.61,2468.64
15_H2CO_0,1231.95,,1207.21,1216.52,1224.4,1236.06,1231.78,1263.29,1152.57,1202.7,,1158.06,1202.63,1206.59,1337.72,1216.91
15_H2CO_1,1280.49,,1274.76,1278.68,1284.34,1297.85,1293.56,1316.29,1223.05,1268.48,,1231.22,1268.35,1268.25,1371.68,1283.62
15_H2CO_2,1541.38,,1543.26,1541.42,1547.31,1566.03,1564.14,1586.56,1482.0,1531.44,,1493.55,1533.84,1531.35,1651.93,1553.77
15_H2CO_3,1856.04,,1790.77,1852.64,1864.53,1897.13,1864.81,1910.81,1765.76,1830.62,,1741.61,1817.57,1851.41,1996.06,1799.22
15_H2CO_4,2918.86,,2925.1,2914.03,2931.96,2982.87,2960.23,2983.87,2784.87,2901.86,,2779.3,2872.72,2894.78,3084.54,2958.15
15_H2CO_5,2981.81,,2987.81,2976.04,2995.39,3049.32,3022.75,3051.86,2828.76,2962.14,,2820.9,2927.43,2954.01,3153.35,3026.07
27_OCS_0,542.37,,525.26,541.87,547.15,550.4,542.12,563.25,507.22,533.87,,501.25,528.03,537.58,594.81,530.71
27_OCS_1,542.37,,525.26,541.87,547.15,550.4,542.12,563.25,507.22,533.87,,501.25,528.03,537.58,594.81,530.71
27_OCS_2,897.19,,877.23,894.79,899.62,924.59,898.95,894.62,867.08,884.96,,848.33,878.21,898.7,897.34,886.28
27_OCS_3,2161.3,,2086.85,2152.12,2167.75,2204.23,2164.21,2206.83,2060.92,2131.16,,2026.69,2111.96,2154.6,2283.66,2103.3
11_CO_0,2248.76,,2164.6,2257.69,2268.79,2288.23,2260.12,2327.11,2131.57,2224.72,,2118.67,2214.08,2241.05,2426.7,2173.21
12_CS2_0,418.59,,401.61,418.5,421.33,423.02,414.93,432.61,389.54,413.37,,385.29,404.57,411.33,455.65,405.33
12_CS2_1,418.59,,401.61,418.5,421.33,423.02,414.93,432.61,389.54,413.37,,385.29,404.57,411.33,455.65,405.33
12_CS2_2,697.86,,670.07,695.34,704.81,711.28,696.42,706.97,661.65,689.2,,649.12,676.57,691.27,723.03,676.79
12_CS2_3,1589.69,,1563.89,1579.9,1593.16,1637.98,1593.4,1582.03,1545.14,1568.26,,1508.29,1555.64,1593.53,1578.16,1584.6
06_CH4_0,1347.83,,1352.69,1345.59,1352.31,1357.38,1368.87,1391.77,1284.45,1340.07,,1309.55,1340.33,1325.88,1454.0,1361.03
06_CH4_1,1357.77,,1353.06,1346.0,1352.58,1357.78,1369.24,1391.86,1285.0,1340.23,,1310.23,1340.89,1326.3,1454.07,1361.29
06_CH4_2,1358.46,,1353.09,1346.09,1352.65,1357.83,1369.29,1392.7,1285.11,1340.45,,1310.36,1340.98,1326.37,1454.1,1361.3
06_CH4_3,1570.56,,1575.63,1564.07,1570.73,1589.25,1590.86,1607.61,1508.81,1559.78,,1524.83,1558.17,1552.3,1666.93,1586.89
06_CH4_4,1574.28,,1575.87,1564.28,1570.88,1589.51,1591.1,1608.33,1509.02,1559.88,,1525.15,1558.47,1552.48,1667.0,1587.06
06_CH4_5,3052.58,,3051.81,3051.04,3055.98,3123.33,3083.72,3085.34,2968.8,3030.08,,2960.79,3025.7,3043.02,3148.84,3071.66
06_CH4_6,3173.44,,3164.49,3158.9,3166.86,3248.18,3194.5,3192.33,3083.05,3139.34,,3055.52,3127.43,3163.46,3247.01,3191.03
06_CH4_7,3174.33,,3164.6,3159.06,3166.99,3248.31,3194.63,3192.45,3083.22,3139.47,,3055.75,3127.62,3163.61,3247.03,3191.12
06_CH4_8,3175.02,,3164.75,3159.26,3167.15,3248.5,3194.79,3192.58,3083.41,3139.62,,3056.0,3127.87,3163.8,3247.08,3191.19
09_ClF_0,826.39,,785.46,814.64,831.63,864.8,827.45,851.94,757.43,809.44,,727.53,777.19,819.88,917.46,801.91
18_H2S_0,1220.88,,1221.28,1222.83,1230.25,1233.2,1241.83,1266.68,1165.57,1220.97,,1182.3,1212.98,1204.91,1320.42,1229.01
18_H2S_1,2757.12,,2731.72,2733.8,2759.04,2801.83,2763.28,2780.33,2632.46,2721.92,,2599.87,2685.29,2727.01,2862.22,2761.82
18_H2S_2,2769.23,,2746.35,2745.34,2770.15,2816.28,2775.94,2791.05,2648.43,2734.03,,2613.75,2698.11,2741.78,2870.73,2777.17
20_HCN_0,770.7,,746.75,776.85,786.6,784.06,779.97,815.48,726.55,761.83,,721.99,759.29,770.54,878.1,748.73
20_HCN_1,770.7,,746.75,776.85,786.6,784.06,779.97,815.48,726.55,761.83,,721.99,759.29,770.54,878.1,748.73
20_HCN_2,2238.67,,2130.79,2247.4,2261.89,2266.84,2241.55,2310.72,2122.14,2210.23,,2114.25,2201.05,2222.08,2407.9,2125.71
20_HCN_3,3461.5,,3458.5,3458.02,3466.51,3528.98,3499.65,3513.78,3360.04,3433.03,,3360.43,3439.88,3453.51,3606.72,3476.29
25_NH3_0,1066.26,,1062.64,1028.34,1034.91,1031.33,1064.34,1071.17,1047.96,1051.82,,1051.98,1051.33,1052.66,1110.91,1067.12
25_NH3_1,1675.45,,1680.32,1669.39,1677.37,1689.23,1698.57,1720.25,1624.68,1666.85,,1637.02,1669.71,1667.5,1789.81,1688.69
25_NH3_2,1689.66,,1680.55,1669.52,1677.49,1689.37,1698.71,1720.39,1624.75,1666.95,,1637.12,1669.86,1667.61,1790.03,1688.92
25_NH3_3,3524.8,,3492.79,3507.72,3524.58,3601.59,3549.54,3583.9,3379.83,3483.01,,3355.19,3464.38,3505.08,3689.42,3519.87
25_NH3_4,3649.32,,3618.54,3626.42,3643.73,3733.87,3672.47,3703.58,3500.21,3599.43,,3465.8,3580.73,3630.99,3812.11,3651.09
25_NH3_5,3650.39,,3618.73,3626.57,3643.86,3734.02,3672.61,3703.93,3500.32,3599.6,,3465.93,3580.88,3631.1,3812.32,3651.26
08_ClCN_0,413.82,,395.04,413.92,415.92,423.29,411.34,425.56,392.48,400.36,,383.75,403.96,414.01,456.13,396.28
08_ClCN_1,413.82,,395.04,413.92,415.92,423.29,411.34,425.56,392.48,400.36,,383.75,403.96,414.01,456.13,396.28
08_ClCN_2,767.49,,748.54,761.43,768.46,793.81,766.18,769.83,737.24,751.44,,710.52,744.38,770.41,795.57,756.08
08_ClCN_3,2365.44,,2236.25,2369.63,2395.25,2390.13,2364.64,2449.88,2215.65,2335.12,,2198.98,2306.56,2337.72,2567.31,2235.93
17_H2O_0,1644.07,,1644.34,1628.42,1638.0,1645.74,1660.55,1681.45,1600.99,1633.41,,1605.32,1634.4,1639.92,1750.44,1653.42
17_H2O_1,3888.67,,3833.51,3846.49,3874.84,3956.8,3906.65,3977.41,3704.86,3829.51,,3663.62,3803.06,3864.68,4130.54,3864.63
17_H2O_2,3991.85,,3941.98,3945.68,3973.55,4063.21,4008.73,4075.82,3807.77,3928.14,,3763.06,3903.14,3968.03,4229.93,3976.49
24_N2_0,2495.92,,2346.76,2498.37,2516.79,2516.99,2491.36,2584.71,2349.14,2447.69,,2332.06,2446.43,2480.13,2729.98,2336.86
23_HOCl_0,788.94,,747.09,781.06,800.22,822.88,787.88,818.34,725.54,780.33,,686.32,739.97,783.44,869.89,763.11
23_HOCl_1,1290.78,,1271.67,1279.19,1292.22,1296.32,1298.11,1330.26,1227.36,1280.47,,1220.07,1266.67,1281.1,1388.3,1282.02
23_HOCl_2,3859.98,,3786.76,3815.37,3848.41,3911.74,3873.99,3963.24,3657.46,3798.07,,3619.12,3767.98,3829.54,4130.63,3819.7
29_SiO_0,1306.0,,1223.28,1303.17,1315.99,1318.52,1297.57,1339.56,1207.32,1282.46,,1196.89,1263.5,1283.65,1407.01,1230.48
22_HNO_0,1609.87,,1549.56,1581.12,1593.26,1602.31,1599.94,1638.17,1506.14,1571.57,,1493.64,1564.64,1577.37,1710.77,1556.66
22_HNO_1,1738.17,,1610.75,1722.23,1747.36,1763.01,1726.1,1807.79,1600.62,1688.09,,1562.19,1666.28,1725.27,1939.57,1617.89
22_HNO_2,2963.76,,2935.44,2944.84,2991.42,3013.63,2995.71,3113.9,2653.85,2929.92,,2642.35,2848.44,2900.49,3302.52,3002.68
