,aug-cc-pVQZ_B2-PLYP-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ-a,aug-cc-pVQZ_BLYP-D3BJ,aug-cc-pVQZ_B-LYP-osUW12-D3BJ,aug-cc-pVQZ_CAM-B3LYP-D3BJ,aug-cc-pVQZ_DSD-BLYP-D3BJ,aug-cc-pVQZ_MP2,aug-cc-pVQZ_PBE0-D3BJ,aug-cc-pVQZ_PBE-D3BJ,aug-cc-pVQZ_wB97X-D3,aug-cc-pVQZ_wB97X-D3BJ,aug-cc-pVQZ_wB97X-MP2-D3BJ,aug-cc-pVQZ_wB97X-V,aug-cc-pVQZ_WM21-D3BJ,aug-cc-pVQZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ-n,aug-cc-pVQZ_wB97M-V,aug-cc-pVQZ_B3LYP-D3BJ_gvt,cc-pVQZ_B2-PLYP-D3BJ,cc-pVQZ_B3LYP-D3BJ,cc-pVQZ_BLYP-D3BJ,cc-pVQZ_B-LYP-osUW12-D3BJ,cc-pVQZ_CAM-B3LYP-D3BJ,cc-pVQZ_DSD-BLYP-D3BJ,cc-pVQZ_MP2,cc-pVQZ_PBE0-D3BJ,cc-pVQZ_PBE-D3BJ,cc-pVQZ_wB97X-D3,cc-pVQZ_wB97X-D3BJ,cc-pVQZ_wB97X-MP2-D3BJ,cc-pVQZ_WM21-D3BJ,cc-pVQZ_XCH-BLYP-UW12-D3BJ,cc-pVQZ_wB97X-V,cc-pVQZ_wB97M-V,cc-pVTZ_B2-PLYP-D3BJ,cc-pVTZ_B3LYP-D3BJ,cc-pVTZ_BLYP-D3BJ,cc-pVTZ_B-LYP-osUW12-D3BJ,cc-pVTZ_CAM-B3LYP-D3BJ,cc-pVTZ_DSD-BLYP-D3BJ,cc-pVTZ_MP2,cc-pVTZ_PBE0-D3BJ,cc-pVTZ_PBE-D3BJ,cc-pVTZ_wB97X-D3,cc-pVTZ_wB97X-D3BJ,cc-pVTZ_wB97X-MP2-D3BJ,cc-pVTZ_WM21-D3BJ,cc-pVTZ_XCH-BLYP-UW12-D3BJ,cc-pVTZ_wB97M-V,cc-pVTZ_wB97X-V,aug-cc-pVTZ_B2-PLYP-D3BJ,aug-cc-pVTZ_B3LYP-D3BJ,aug-cc-pVTZ_BLYP-D3BJ,aug-cc-pVTZ_B-LYP-osUW12-D3BJ,aug-cc-pVTZ_CAM-B3LYP-D3BJ,aug-cc-pVTZ_DSD-BLYP-D3BJ,aug-cc-pVTZ_MP2,aug-cc-pVTZ_PBE0-D3BJ,aug-cc-pVTZ_PBE-D3BJ,aug-cc-pVTZ_wB97X-D3,aug-cc-pVTZ_wB97X-D3BJ,aug-cc-pVTZ_wB97X-MP2-D3BJ,aug-cc-pVTZ_WM21-D3BJ,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVTZ_wB97M-V,aug-cc-pVTZ_wB97X-V,aug-cc-pVTZ_B3LYP-D3BJ-num,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num,aug-cc-pVTZ_B3LYP-D3BJ-an,aug-cc-pVTZ_B3LYP-D3BJ-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-tight,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ-num,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num2,aug-cc-pVTZ_B3LYP-D3BJ-num2,aug-cc-pVTZ_B3LYP-D3BJ-an2,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-tight2,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num2-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ_14,aug-cc-pVTZ_TPSS-D3BJ,aug-cc-pVTZ_TPSSh-D3BJ,aug-cc-pVTZ_SCAN-D3BJ,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ_fc,cc-pVDZ_B2-PLYP-D3BJ,cc-pVDZ_B3LYP-D3BJ,cc-pVDZ_BLYP-D3BJ,cc-pVDZ_B-LYP-osUW12-D3BJ,cc-pVDZ_CAM-B3LYP-D3BJ,cc-pVDZ_DSD-BLYP-D3BJ,cc-pVDZ_MP2,cc-pVDZ_PBE0-D3BJ,cc-pVDZ_PBE-D3BJ,cc-pVDZ_wB97X-D3,cc-pVDZ_wB97X-D3BJ,cc-pVDZ_wB97X-MP2-D3BJ,cc-pVDZ_WM21-D3BJ,cc-pVDZ_XCH-BLYP-UW12-D3BJ,cc-pVDZ_wB97M-V,cc-pVDZ_wB97X-V,aug-cc-pVDZ_B2-PLYP-D3BJ,aug-cc-pVDZ_B3LYP-D3BJ,aug-cc-pVDZ_BLYP-D3BJ,aug-cc-pVDZ_B-LYP-osUW12-D3BJ,aug-cc-pVDZ_CAM-B3LYP-D3BJ,aug-cc-pVDZ_DSD-BLYP-D3BJ,aug-cc-pVDZ_MP2,aug-cc-pVDZ_PBE0-D3BJ,aug-cc-pVDZ_PBE-D3BJ,aug-cc-pVDZ_wB97X-D3,aug-cc-pVDZ_wB97X-D3BJ,aug-cc-pVDZ_wB97X-MP2-D3BJ,aug-cc-pVDZ_WM21-D3BJ,aug-cc-pVDZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVDZ_wB97M-V,aug-cc-pVDZ_wB97X-V
04_CCl2_8,1.436356358,1.431323827,1.431319579,1.452321817,1.424562466,1.416707306,1.42941695,1.429259416,1.416526011,1.43548483,1.415375425,1.409904971,1.409921462,,1.417519688,1.406877886,1.42512742,,1.431509335,1.436767295,1.431665149,1.452822414,1.424661606,1.416899283,1.426171678,1.429284983,1.416733076,1.435931804,1.415531088,1.410016405,1.40877283,1.417686966,1.407087991,,,1.438571607,1.433666199,1.455426809,1.426180797,1.418565824,1.43199052,1.430625442,1.418382935,1.43803904,1.417081621,1.411246512,1.424629246,1.419258101,1.408565375,,,1.439381156,1.432512932,1.453809531,1.425338436,1.417609705,1.392006582,1.430276774,1.417480562,1.436723788,1.416177611,1.410528021,1.423082158,1.418391908,1.407615543,,,1.436903736,1.425190958,1.432514828,1.432624749,1.41381011,1.407502807,1.396219146,,,,,,,,,,1.414301817,1.450451048,1.443105239,1.465927425,1.434410656,1.427288018,1.445321072,1.435904405,1.42721046,1.448478384,1.424978591,1.418883792,1.436717978,1.427539316,1.417777403,,,1.445212245,1.438428874,1.459878197,1.430726827,1.423639085,1.439940174,1.433613552,1.422694708,1.442502594,1.421275951,1.415717138,1.434244954,1.423918241,1.413831442,,
05_CF2_0,-2.263e-06,-9.3e-08,-8e-08,8.2e-08,1.08e-07,-3.7e-08,-1.441e-06,6.6e-08,7e-09,1.6e-07,3.1e-08,-3e-09,-1.737e-06,,-4.8e-08,1.03e-07,3.65e-07,,4.2e-08,2.1e-08,-3.8e-08,-5.2e-08,-7e-08,2.1e-08,-1.04e-07,2.01e-07,4.4e-08,-7.1e-08,1.9e-08,-0.0,-1.404e-06,-3.2e-08,-1.2e-08,,,3.46e-07,3.7e-08,6e-09,-9.8e-08,-5.2e-08,-4.7e-07,1.333e-06,-5.4e-08,6e-08,-1.04e-07,-9.1e-08,4.06e-07,-1.3e-08,-9.1e-08,,,-6.62e-07,-3.7e-08,-1.64e-07,3.3e-08,2.3e-08,-9.75e-07,7e-09,4.9e-08,-4.3e-08,-2.2e-08,-7.6e-08,7.46e-07,-6e-08,1e-08,,,3.35e-07,-1.461e-06,-1.84e-07,-1.59e-07,-7.1e-08,4.8283e-05,-6.4e-08,,,,,,,,,,8e-09,-4.67e-07,4.4e-08,1.26e-07,6.4e-08,-1e-09,-2.07e-07,5.67e-07,-7.4e-08,-1.7e-07,-3e-08,-5.4e-08,1.65e-07,-7.9e-08,-8e-09,,,-4.65e-07,-1.15e-07,9e-08,8.2e-08,-1.4e-08,-7.7e-08,-9.66e-07,-1.05e-07,-2.78e-07,-6.4e-08,-1.09e-07,5.39e-07,-8.1e-08,-6.5e-08,,
05_CF2_1,0.136868495,0.137286885,0.137286944,0.127293534,0.142681406,0.140698155,0.139002479,0.152366367,0.140429607,0.130007777,0.13955356,0.140499866,0.146581234,,0.137640598,0.148019461,0.137164664,,0.137302379,0.137639279,0.136736113,0.12668899,0.142196179,0.140209167,0.139785716,0.151983535,0.139902432,0.129352035,0.1390352,0.140058614,0.145268869,0.137182275,0.147467463,,,0.136725548,0.135394692,0.125180762,0.140973059,0.139163991,0.138855803,0.150694086,0.138776578,0.127927323,0.137784794,0.139085934,0.144105349,0.136095692,0.146154657,,,0.136218061,0.135825796,0.125554507,0.141474741,0.139457948,0.136606128,0.151163624,0.139253999,0.128426643,0.138091708,0.139337725,0.1445393,0.136363107,0.146735018,,,0.135753527,0.141382543,0.135825788,0.135841432,0.141481392,0.146750507,0.146734925,,,,,,,,,,0.145030948,0.129673854,0.129349621,0.119096437,0.134937134,0.133481196,0.131731463,0.144723415,0.132817981,0.122005495,0.131737729,0.133632663,0.138531054,0.130393392,0.139919902,,,0.126755798,0.127858459,0.117674976,0.133161226,0.131736966,0.125582614,0.142265629,0.131001887,0.12041098,0.129353981,0.131509195,0.136435155,0.128237086,0.138625651,,
05_CF2_2,3.08e-07,-4.32e-07,-1.44e-07,1.132e-06,-3.09e-07,6e-09,5.39e-07,1.78e-07,0.0,2.55e-07,-0.0,4e-09,8.5e-08,,-3.19e-07,-6e-08,-0.000159428,,-2.76e-07,3.8075e-05,4.62e-07,-2.75e-07,2.99e-07,-4.4e-08,-5.954e-06,1.64e-07,1.59e-07,-1.091e-06,7.3e-08,-2.9e-08,2.2185e-05,3.83e-07,-7e-09,,,-3.2103e-05,8.4e-08,-1.56e-07,-2.7e-08,-6.9e-08,2.992e-06,1.36e-07,1.12e-07,-2.62e-07,3.4e-08,-2.3e-08,2.247e-06,-7.9e-08,5.3e-08,,,-7.8e-08,-2.57e-07,-3.34e-07,4.1e-08,-6e-08,-7.4e-07,-1.012e-06,4.5e-08,8.82e-07,1.8e-08,-5e-08,1.101e-06,-9.4e-08,1e-09,,,3.988e-05,5.5084e-05,9.7e-08,1.07e-07,-2.32e-07,0.000105193,-1.45e-07,,,,,,,,,,1.63e-07,-9.003e-06,4.42e-07,2.78e-07,-2.96e-07,1.2e-07,-2.1038e-05,1.3e-08,-6e-07,3.81e-07,-6.9e-08,2.2e-08,-1.0835e-05,1.59e-07,-2.37e-07,,,-3.4951e-05,-5.98e-07,0.0,-2.07e-07,-2.7e-07,-1.6134e-05,-2.06e-07,2.19e-07,-1.009e-06,-3.01e-07,3.5e-08,1.0001e-05,-2.91e-07,-3.75e-07,,
05_CF2_3,-2e-09,-8.9e-08,-1.87e-07,4.84e-07,6.5e-08,2e-09,-5.79e-07,6.81e-07,-2.5e-08,-2.08e-07,-2.8e-08,-1.2e-08,3.48e-07,,8.8e-08,-6.6e-08,1e-06,,5.59e-07,9.37e-07,1.26e-07,1.19e-07,2.18e-07,-1.5e-08,7.03e-07,8.33e-07,-1.27e-07,-5.1e-08,1.9e-08,4.5e-08,-1.405e-06,1.08e-07,2.42e-07,,,8.75e-07,1.7e-07,-1.16e-07,2.75e-07,9.5e-08,-8.5e-08,1.526e-06,1.52e-07,3.19e-07,5.8e-08,1.47e-07,5.15e-07,2.39e-07,-4.7e-08,,,-1.487e-06,8.6e-08,5.13e-07,4.8e-08,-5.8e-08,-9.44e-07,1.018e-06,3.29e-07,-5.1e-08,-1.3e-08,2.42e-07,1.442e-06,1.26e-07,1.46e-07,,,3.95e-07,-1.3576e-05,2.28e-07,2.29e-07,-6.3e-08,8.365e-05,9.2e-08,,,,,,,,,,3.29e-07,5.4e-08,-3.9e-07,2.96e-07,3.04e-07,-7e-08,8.21e-07,1.418e-06,5e-09,6.77e-07,-3.34e-07,4e-09,2.73e-07,1.61e-07,2.1e-08,,,-1.11e-07,5e-09,-2.77e-07,4e-09,1.28e-07,1.436e-06,1.64e-07,3.45e-07,-5.97e-07,-1.57e-07,7.6e-08,1.029e-06,-1.13e-07,-2.92e-07,,
05_CF2_4,0.930190346,0.931357398,0.931356844,0.936351284,0.928659871,0.929650908,0.929224075,0.923816151,0.929785193,0.934995557,0.930223219,0.929750057,0.928212021,,0.931180296,0.925990382,0.931560125,,0.93134935,0.93125832,0.931631082,0.936655708,0.92890134,0.929895482,0.929966925,0.924006516,0.9300485,0.935325857,0.930482282,0.929970748,0.92749858,0.93140812,0.926266293,,,0.931790905,0.932302494,0.937409791,0.929513548,0.930418132,0.93051293,0.924650661,0.930611508,0.936036821,0.931107524,0.930457077,0.927948965,0.931952306,0.926922566,,,0.931964419,0.93208762,0.937223324,0.929262555,0.930271153,0.929512251,0.924417414,0.930372896,0.93578521,0.93095412,0.930331243,0.927854634,0.931818632,0.926632491,,,0.931954849,0.929196328,0.932086924,0.932079077,0.929259721,0.9266318,0.926632808,,,,,,,,,,0.927484193,0.933533458,0.935324352,0.940451663,0.932532008,0.933259177,0.93228705,0.927638344,0.93359217,0.938996953,0.934131269,0.933183623,0.930650946,0.934803005,0.930040508,,,0.936967842,0.936071923,0.941162727,0.933419785,0.934132025,0.934171585,0.928865188,0.93449864,0.93979667,0.935323579,0.934245322,0.93173103,0.935882007,0.930687899,,
05_CF2_5,-1.031227395,-1.032470676,-1.032470909,-1.048294634,-1.022195145,-1.025836048,-1.028047621,-1.010139373,-1.026253021,-1.042692916,-1.027399259,-1.026133341,-1.020335673,,-1.029468813,-1.012737244,-1.032385507,,-1.032504674,-1.030690887,-1.032163278,-1.047814179,-1.02183923,-1.025443675,-1.027633932,-1.009929049,-1.025900279,-1.042253745,-1.027113935,-1.02575342,-1.020031085,-1.029060625,-1.012421889,,,-1.031644376,-1.032583978,-1.04809027,-1.022498089,-1.02589488,-1.028809291,-1.010695347,-1.026478268,-1.042629169,-1.027680549,-1.026247596,-1.020629872,-1.029549237,-1.013125001,,,-1.032355425,-1.033161738,-1.048918267,-1.022870413,-1.026490395,-1.02944874,-1.01085633,-1.026854198,-1.043251005,-1.028021619,-1.026754989,-1.02101113,-1.030127802,-1.013513369,,,-1.033168548,-1.022881885,-1.033161929,-1.033199571,-1.022814241,-1.013420784,-1.013513026,,,,,,,,,,-1.015627096,-1.036640369,-1.036959146,-1.052873345,-1.026519571,-1.029654438,-1.034204564,-1.01549362,-1.030888211,-1.047509908,-1.031650351,-1.029970802,-1.024478979,-1.033383891,-1.017065689,,,-1.040286373,-1.039035613,-1.055387413,-1.028454693,-1.031743335,-1.038280173,-1.017079976,-1.03290262,-1.049949935,-1.033816765,-1.032179752,-1.026559994,-1.035746655,-1.018665818,,
05_CF2_6,-6.82e-07,1.82e-07,2.67e-07,-5.65e-07,-1.73e-07,3.5e-08,-5.82e-07,-2.34e-07,1.8e-08,4.8e-08,-3e-09,1.5e-08,-5.89e-07,,-4e-08,-3.7e-08,-2.43e-07,,-6.01e-07,-1.055e-06,-8.8e-08,-6.6e-08,-1.49e-07,-6e-09,-2.67e-07,-7.25e-07,8.3e-08,1.22e-07,-3.9e-08,-4.4e-08,-1.304e-06,-7.5e-08,-2.3e-07,,,1.88e-07,-2.08e-07,1.1e-07,-1.77e-07,-4.3e-08,-7.36e-07,1.318e-06,-9.8e-08,-3.79e-07,4.6e-08,-5.5e-08,8.3e-08,-2.26e-07,1.39e-07,,,4.94e-07,-4.9e-08,-3.49e-07,-8.2e-08,3.6e-08,-6.96e-07,-3.48e-07,-3.78e-07,9.4e-08,3.5e-08,-1.66e-07,-7.4e-08,-6.5e-08,-1.56e-07,,,7.2e-08,2.977e-06,-4.3e-08,-7e-08,1.34e-07,-8.432e-06,-2.8e-08,,,,,,,,,,-3.37e-07,-1.98e-07,3.46e-07,-4.22e-07,-3.68e-07,7.1e-08,-6.9e-07,7.1e-08,6.9e-08,-5.07e-07,3.64e-07,4.9e-08,3.72e-07,-8.2e-08,-1.3e-08,,,-2.08e-07,1.1e-07,1.87e-07,-8.6e-08,-1.14e-07,-8.79e-07,-1.442e-06,-2.4e-07,8.76e-07,2.21e-07,3.2e-08,6.6e-08,1.95e-07,3.57e-07,,
05_CF2_7,0.93019215,0.931355712,0.931356207,0.936355178,0.928658718,0.929650932,0.929224317,0.923815865,0.929785195,0.934996662,0.930223217,0.929750072,0.928212919,,0.931179101,0.925990152,0.930923465,,0.931348266,0.93108226,0.931632801,0.936655297,0.928902477,0.929895345,0.929953126,0.924006547,0.930049063,0.935322103,0.930482513,0.929970634,0.927551995,0.9314096,0.926266239,,,0.931657511,0.932302809,0.937409443,0.929513388,0.930417873,0.930510222,0.924651031,0.930611909,0.936035851,0.931107676,0.930456984,0.92795493,0.931951996,0.926922772,,,0.931965329,0.932086579,0.937222164,0.929262699,0.930270894,0.929511502,0.924416332,0.9303731,0.935788142,0.930954168,0.930331027,0.927856523,0.931818256,0.926632486,,,0.932071777,0.929271776,0.932087284,0.932079485,0.929258882,0.926665217,0.926632262,,,,,,,,,,0.927484854,0.933532652,0.935326022,0.940451895,0.932530853,0.933259623,0.932298251,0.927638726,0.933589844,0.938997547,0.934130997,0.933183709,0.930653134,0.934803598,0.930039585,,,0.936925011,0.936069613,0.941162292,0.933418984,0.934131004,0.934192826,0.92886491,0.934499468,0.939792345,0.935322435,0.934245479,0.931724898,0.935880902,0.930686444,,
05_CF2_8,1.031226613,1.032471109,1.032471053,1.048293502,1.022195453,1.025836042,1.028048509,1.010139946,1.026253021,1.042692661,1.02739926,1.026133337,1.020335132,,1.029469132,1.012737303,1.032549727,,1.03250495,1.030903275,1.032162816,1.047814454,1.021838931,1.025443718,1.02763234,1.00992934,1.02590012,1.042254836,1.027113863,1.025753449,1.02003379,1.029060242,1.012421896,,,1.031681903,1.032583894,1.048090427,1.022498117,1.025894949,1.028817422,1.010695333,1.026478156,1.042629431,1.027680516,1.026247619,1.020629747,1.029549316,1.013124948,,,1.032354563,1.033161995,1.048918601,1.022870372,1.026490454,1.029447829,1.010855134,1.026854153,1.043250123,1.028021601,1.026755039,1.021011964,1.030127896,1.013513368,,,1.033159068,1.022935696,1.033161831,1.033199464,1.022814473,1.013606522,1.01351317,,,,,,,,,,1.015626933,1.036622751,1.036958704,1.052873066,1.026519867,1.029654318,1.034153394,1.015493364,1.030888812,1.047509527,1.03165042,1.02997078,1.024455401,1.033383732,1.017065927,,,1.040248868,1.039036211,1.055387412,1.028454899,1.031743605,1.038230961,1.017079784,1.0329024,1.049950943,1.033817066,1.032179717,1.026585043,1.035746946,1.018666193,,
06_CH4_0,-2.1378e-05,-2.6257e-05,-2.624e-05,-2.8073e-05,-2.3569e-05,-2.303e-05,-2.107e-05,-1.9934e-05,-2.5298e-05,-2.7252e-05,5.253e-05,-2.3054e-05,-1.3107e-05,,-2.3281e-05,-2.4175e-05,-9.602e-06,,-2.6337e-05,-1.4938e-05,-2.6356e-05,-2.8292e-05,-2.3742e-05,-2.3052e-05,-1.9195e-05,-1.9904e-05,-2.5464e-05,-2.7552e-05,5.3219e-05,-2.3096e-05,-1.2622e-05,-2.3291e-05,-2.4218e-05,,,-8.881e-06,-2.1308e-05,-2.1732e-05,-2.0779e-05,-2.015e-05,-1.8498e-05,-1.9886e-05,-2.1218e-05,-2.1879e-05,5.1094e-05,-1.9389e-05,-8.849e-06,-1.9797e-05,-2.0854e-05,,,-1.927e-05,-2.1465e-05,-2.1947e-05,-2.0888e-05,-2.0243e-05,-1.797e-05,-1.9918e-05,-2.1407e-05,-2.2046e-05,6.3309e-05,-1.946e-05,1.0846e-05,-1.9863e-05,-2.0987e-05,,,-4.221e-06,4.658e-06,-2.1472e-05,-2.1418e-05,-2.0896e-05,4.294e-06,-2.0976e-05,,,,,,,,,,-2.0961e-05,-9.433e-06,-2.243e-05,-2.2544e-05,-2.1332e-05,-2.2569e-05,-3.0001e-05,-1.9958e-05,-2.1996e-05,-2.2355e-05,3.8997e-05,-2.1616e-05,-3.0159e-05,-2.1877e-05,-2.1815e-05,,,-3.7302e-05,-2.3207e-05,-2.3665e-05,-2.1675e-05,-2.3043e-05,-3.7911e-05,-2.0032e-05,-2.2512e-05,-2.3215e-05,4.3508e-05,-2.1881e-05,-4.22e-07,-2.2194e-05,-2.2194e-05,,
06_CH4_1,2.2433e-05,2.6021e-05,2.6009e-05,2.8263e-05,2.3574e-05,2.3284e-05,2.3541e-05,2.0094e-05,2.4677e-05,2.6855e-05,0.000488645,2.45e-05,1.9951e-05,,2.1494e-05,2.3681e-05,5.7764e-05,,2.6167e-05,2.6184e-05,2.6115e-05,2.8455e-05,2.3736e-05,2.3321e-05,2.6966e-05,2.0031e-05,2.4771e-05,2.6992e-05,0.000488667,2.4508e-05,8.701e-06,2.1446e-05,2.3725e-05,,,1.4625e-05,1.3451e-05,1.1806e-05,1.6121e-05,1.4767e-05,1.4121e-05,2.0094e-05,1.5512e-05,1.3971e-05,0.000452013,1.6375e-05,1.2513e-05,1.0608e-05,1.5584e-05,,,1.6972e-05,1.3589e-05,1.1678e-05,1.6135e-05,1.4723e-05,1.7545e-05,2.0062e-05,1.5373e-05,1.3877e-05,0.000454038,1.6351e-05,1.1138e-05,1.0602e-05,1.5573e-05,,,-1.4721e-05,-4.951e-06,1.3404e-05,1.3582e-05,1.6136e-05,8.402e-06,1.5564e-05,,,,,,,,,,1.5609e-05,1.6901e-05,2.4728e-05,2.5737e-05,2.2867e-05,2.4552e-05,3.4303e-05,2.0065e-05,2.3554e-05,2.4833e-05,0.000411572,2.387e-05,1.6105e-05,2.21e-05,2.2933e-05,,,3.4293e-05,2.4866e-05,2.585e-05,2.2937e-05,2.4826e-05,1.1674e-05,2e-05,2.3713e-05,2.5088e-05,0.000409635,2.4189e-05,1.0794e-05,2.2542e-05,2.2957e-05,,
06_CH4_2,2.0369e-05,1.85e-06,1.86e-06,3.396e-06,1.29e-07,1.088e-06,6.264e-06,3.46e-07,3.672e-06,5.527e-06,-0.000443951,1.475e-06,-2.4808e-05,,6.437e-06,-3.3e-08,2.4435e-05,,1.948e-06,2.302e-06,1.978e-06,3.621e-06,1.33e-07,1.13e-06,-4.85e-07,3.34e-07,3.864e-06,5.836e-06,-0.000444703,1.5e-06,3.5136e-05,6.528e-06,4e-09,,,7.9e-08,5.647e-06,7.316e-06,3.76e-06,3.277e-06,5.71e-07,3.15e-07,3.06e-06,5.051e-06,-0.000418176,1.012e-06,2.3493e-05,9.131e-06,4.407e-06,,,2.2546e-05,5.883e-06,7.567e-06,3.954e-06,3.491e-06,4.2764e-05,4.08e-07,3.272e-06,5.186e-06,-0.00041894,1.109e-06,1.2838e-05,9.334e-06,4.632e-06,,,3.5276e-05,1.563e-05,5.939e-06,5.903e-06,3.948e-06,-7.841e-06,4.641e-06,,,,,,,,,,4.499e-06,4.763e-06,-2.576e-06,-2.996e-06,-2.514e-06,-1.034e-06,2.1656e-05,4.57e-07,-6.6e-07,-8.23e-07,-0.000333269,-5.1e-07,1.2226e-05,-3.335e-06,-2.658e-06,,,8.4697e-05,-2.988e-06,-3.557e-06,-2.777e-06,-1.292e-06,0.000129664,2.62e-07,-8.08e-07,-1.054e-06,-0.000351621,-5.89e-07,-3.694e-06,-3.61e-06,-2.882e-06,,
06_CH4_3,0.550825987,0.551797477,0.551797461,0.554653053,0.549072563,0.551059389,0.550086019,0.548684033,0.552081204,0.55551568,0.517639399,0.55171227,0.550615575,,0.553239359,0.545671855,0.55181737,,0.551773033,0.550776667,0.551768952,0.554605454,0.548997532,0.551046447,0.549984805,0.548681078,0.552046303,0.555456146,0.51761643,0.551692516,0.550652591,0.553216308,0.545657591,,,0.551129325,0.552348986,0.555301589,0.549483314,0.551569636,0.550521788,0.548988975,0.552503804,0.555986978,0.517837202,0.552143344,0.551122604,0.553754915,0.546187843,,,0.551214349,0.552307062,0.555304462,0.549465848,0.551542276,0.550779991,0.548965594,0.55251091,0.556006522,0.517859652,0.552127399,0.551125049,0.553735898,0.546161504,,,0.552316112,0.549519779,0.552330868,0.552307178,0.549465805,0.546190705,0.546161566,,,,,,,,,,0.547119373,0.557257118,0.558080657,0.561446792,0.554875276,0.557212444,0.556767893,0.553419478,0.557196069,0.561087721,0.522309795,0.557284629,0.556144156,0.558900758,0.551709309,,,0.556038622,0.556499383,0.559637068,0.553539214,0.555677876,0.555726462,0.552709925,0.555960967,0.559571466,0.521281451,0.55593782,0.55491477,0.557491459,0.550299605,,
06_CH4_4,0.794907372,0.796569757,0.796569784,0.800949471,0.792506023,0.795289488,0.793866392,0.791750943,0.796996573,0.802079888,0.826132617,0.796319955,0.794666924,,0.798674999,0.787692433,0.796598836,,0.796602747,0.794832644,0.796532719,0.800891914,0.792481159,0.79527095,0.793718747,0.791746279,0.796951037,0.802005452,0.826095872,0.796291931,0.794593907,0.798641437,0.78767427,,,0.795228419,0.796871186,0.801093203,0.792806058,0.795786439,0.794318915,0.792190973,0.797176688,0.802138468,0.826510379,0.796635801,0.795019048,0.798960591,0.788037023,,,0.795347536,0.796857571,0.80110351,0.792785578,0.795749863,0.794719531,0.792156951,0.797160664,0.802171473,0.826473057,0.796613547,0.795003809,0.798934116,0.788003521,,,0.79680297,0.792821721,0.796851639,0.796857795,0.792785625,0.788015721,0.788003515,,,,,,,,,,0.789386415,0.804275178,0.805594659,0.81050315,0.800856778,0.804322573,0.803568751,0.798583913,0.804227822,0.809900113,0.833674981,0.80436134,0.802355091,0.806782345,0.796256278,,,0.802610968,0.803339333,0.807930675,0.798940921,0.802131207,0.802147693,0.797560019,0.802460696,0.807740226,0.832015731,0.802432548,0.800654631,0.804777583,0.794232661,,
06_CH4_5,0.493569748,0.494425758,0.494425766,0.496988886,0.491994176,0.493755829,0.492903488,0.491627459,0.494615851,0.497682865,0.482252324,0.494332748,0.492995797,,0.495552766,0.488949836,0.494447387,,0.494403555,0.493501435,0.494394422,0.496932178,0.491929422,0.493743527,0.492799548,0.491624662,0.494577591,0.497614326,0.482232698,0.494314241,0.493076026,0.495528763,0.48893393,,,0.493782243,0.494802567,0.49742237,0.492267077,0.494164565,0.493252354,0.491900664,0.495009069,0.498083439,0.482199247,0.494712774,0.493529324,0.495902881,0.489303557,,,0.493886322,0.494786833,0.497426078,0.492245236,0.494136319,0.493525489,0.491879763,0.494999615,0.498103217,0.48222777,0.494696811,0.493452373,0.495881879,0.489273612,,,0.494859931,0.492266834,0.494780679,0.494786557,0.492245204,0.489232068,0.489273587,,,,,,,,,,0.490135013,0.4993711,0.5001623,0.503207673,0.497269289,0.499329176,0.498964302,0.495870343,0.499294505,0.502800389,0.488534382,0.499368835,0.497971815,0.500887344,0.494405501,,,0.498326556,0.49877006,0.501627121,0.496085386,0.49796877,0.49812471,0.495234451,0.49819421,0.501455897,0.487420483,0.498163588,0.496766682,0.499630996,0.493153179,,
