,wB97X-D3,wB97X-V,B2-PLYP-D3BJ,CAM-B3LYP-D3BJ,wB97X-D3BJ,XCH-BLYP-UW12-D3BJ,B-LYP-osUW12-D3BJ,wB97X-MP2-D3BJ,PBE-D3BJ,WM21-D3BJ,wB97M-V,BLYP-D3BJ,B3LYP-D3BJ,PBE0-D3BJ,MP2,DSD-BLYP-D3BJ
21_HF_0,4113.56,,4092.85,4057.74,4092.67,4200.16,4148.13,4231.11,3905.89,4047.35,,3847.7,4018.93,4100.47,4441.81,4145.77
26_N2O_0,624.89,,590.23,623.05,628.61,641.3,626.68,647.37,590.0,605.19,,572.6,608.6,630.12,701.66,594.39
26_N2O_1,624.89,,590.23,623.05,628.61,641.3,626.68,647.37,590.0,605.19,,572.6,608.6,630.12,701.66,594.39
26_N2O_2,1394.14,,1319.72,1380.0,1390.49,1426.5,1391.3,1402.5,1320.16,1361.66,,1276.25,1347.05,1397.11,1408.97,1334.19
26_N2O_3,2436.54,,2286.41,2424.84,2448.53,2483.24,2432.99,2492.66,2308.59,2379.62,,2243.36,2364.64,2436.45,2633.08,2294.21
33_SO_0,1187.35,,1078.12,1168.11,1192.23,1194.08,1179.53,1235.1,1070.3,1163.71,,1033.91,1112.61,1158.68,1309.93,1095.99
30_SO2_0,532.48,,503.99,528.99,537.73,531.22,530.31,562.58,483.58,522.73,,477.38,512.73,524.1,603.84,510.51
30_SO2_1,1219.53,,1090.87,1199.63,1226.56,1220.67,1200.66,1280.32,1075.97,1191.65,,1042.33,1141.29,1185.61,1354.39,1106.16
30_SO2_2,1428.88,,1307.77,1407.93,1435.47,1439.3,1414.01,1493.43,1273.64,1399.36,,1235.16,1345.1,1394.56,1569.04,1328.01
28_PH3_0,1023.83,,1036.61,1029.54,1035.06,1033.36,1047.07,1068.68,980.99,1031.65,,1002.02,1023.49,1009.88,1109.87,1045.93
28_PH3_1,1144.0,,1148.88,1142.75,1153.23,1158.26,1161.2,1187.45,1084.26,1146.53,,1094.31,1127.75,1126.31,1233.93,1162.72
28_PH3_2,1144.59,,1150.21,1144.73,1154.87,1159.57,1162.6,1189.21,1085.75,1148.32,,1096.35,1129.8,1127.84,1234.0,1163.62
28_PH3_3,2429.15,,2423.19,2419.43,2446.44,2476.87,2446.23,2480.68,2315.06,2427.48,,2287.47,2368.49,2405.33,2537.46,2454.97
28_PH3_4,2445.83,,2435.88,2431.74,2458.16,2493.3,2456.96,2489.22,2335.86,2439.4,,2302.72,2381.83,2423.42,2538.4,2467.33
28_PH3_5,2446.43,,2436.01,2431.91,2458.29,2493.5,2457.1,2489.34,2335.95,2439.56,,2302.81,2382.0,2423.57,2538.45,2467.42
15_H2CO_0,1211.19,,1194.08,1199.56,1209.75,1219.82,1216.04,1248.98,1140.05,1188.09,,1140.61,1185.43,1194.43,1324.97,1204.93
15_H2CO_1,1265.45,,1263.63,1263.68,1272.17,1282.06,1278.64,1304.14,1211.42,1256.51,,1214.27,1252.23,1257.37,1359.34,1274.78
15_H2CO_2,1526.37,,1531.37,1523.22,1532.71,1547.15,1546.6,1570.78,1468.57,1516.67,,1473.15,1514.37,1518.62,1637.18,1544.98
15_H2CO_3,1871.92,,1806.68,1866.16,1879.17,1908.53,1877.04,1925.84,1782.14,1846.09,,1755.41,1830.18,1865.82,2012.93,1814.8
15_H2CO_4,2918.84,,2914.08,2904.59,2932.34,2978.02,2956.89,2990.87,2770.78,2895.63,,2749.51,2858.73,2898.02,3108.21,2950.3
15_H2CO_5,2982.06,,2972.39,2964.97,2995.88,3043.53,3018.75,3061.76,2808.46,2954.2,,2783.16,2910.68,2957.06,3182.78,3013.88
27_OCS_0,533.17,,517.63,533.91,538.35,541.61,533.85,553.34,501.92,525.55,,496.27,521.15,530.06,583.55,522.42
27_OCS_1,533.17,,517.63,533.91,538.35,541.61,533.85,553.34,501.92,525.55,,496.27,521.15,530.06,583.55,522.42
27_OCS_2,900.99,,879.06,897.54,903.95,926.03,902.01,900.19,870.39,889.41,,848.63,879.85,903.38,904.22,888.18
27_OCS_3,2172.84,,2094.19,2162.92,2180.39,2211.66,2172.56,2219.23,2070.56,2144.0,,2032.31,2118.83,2164.69,2294.54,2111.17
11_CO_0,2238.74,,2152.21,2247.52,2262.56,2275.98,2251.22,2325.78,2116.37,2215.79,,2099.27,2201.21,2233.15,2431.12,2161.53
12_CS2_0,410.4,,396.06,412.49,413.73,416.78,408.47,424.58,384.69,406.55,,381.91,399.38,404.75,446.01,399.25
12_CS2_1,410.4,,396.06,412.49,413.73,416.78,408.47,424.58,384.69,406.55,,381.91,399.38,404.75,446.01,399.25
12_CS2_2,700.89,,672.83,698.95,709.06,714.33,699.44,711.55,665.48,693.23,,650.99,679.11,695.61,728.6,679.98
12_CS2_3,1606.72,,1580.98,1600.32,1614.3,1655.25,1610.86,1603.73,1564.16,1588.76,,1524.35,1572.83,1613.04,1602.97,1602.72
06_CH4_0,1320.65,,1328.13,1314.7,1325.8,1327.81,1340.76,1366.84,1257.94,1312.79,,1274.06,1308.68,1303.19,1433.07,1340.2
06_CH4_1,1329.16,,1328.48,1315.03,1326.02,1328.15,1341.05,1366.92,1258.26,1313.1,,1274.49,1309.08,1303.47,1433.14,1340.42
06_CH4_2,1330.05,,1328.51,1315.07,1326.05,1328.18,1341.07,1367.51,1258.3,1313.13,,1274.54,1309.12,1303.49,1433.17,1340.46
06_CH4_3,1545.18,,1551.44,1536.74,1546.41,1563.77,1565.79,1583.99,1485.03,1534.63,,1493.88,1530.2,1531.29,1647.9,1564.35
06_CH4_4,1548.6,,1551.67,1536.96,1546.55,1564.03,1566.01,1584.51,1485.19,1534.84,,1494.15,1530.47,1531.45,1647.98,1564.53
06_CH4_5,3053.13,,3054.96,3049.24,3059.76,3126.04,3087.18,3093.17,2969.57,3032.19,,2951.41,3022.41,3049.78,3163.64,3075.63
06_CH4_6,3197.0,,3186.02,3176.95,3191.99,3270.39,3217.44,3219.58,3104.16,3160.81,,3065.08,3143.76,3191.45,3284.63,3212.45
06_CH4_7,3197.26,,3186.11,3177.04,3192.07,3270.49,3217.53,3219.63,3104.27,3160.89,,3065.22,3143.88,3191.54,3284.66,3212.5
06_CH4_8,3197.97,,3186.14,3177.08,3192.1,3270.57,3217.57,3219.68,3104.28,3160.91,,3065.24,3143.91,3191.58,3284.71,3212.53
09_ClF_0,815.61,,758.67,795.5,809.2,832.6,798.56,821.28,741.36,794.51,,714.35,759.79,790.67,875.46,767.3
18_H2S_0,1212.6,,1216.54,1212.52,1222.32,1223.28,1232.47,1259.08,1155.95,1212.2,,1167.92,1201.2,1198.11,1316.93,1227.67
18_H2S_1,2757.88,,2733.03,2726.49,2758.2,2797.7,2758.17,2778.45,2626.62,2718.6,,2582.39,2674.02,2727.51,2869.3,2768.18
18_H2S_2,2775.54,,2752.41,2742.96,2774.69,2817.07,2775.43,2793.35,2647.83,2735.6,,2600.66,2691.45,2747.66,2882.31,2788.4
20_HCN_0,781.55,,753.72,789.13,796.25,792.82,785.92,815.71,742.05,771.01,,739.81,771.14,778.54,869.67,752.67
20_HCN_1,781.55,,753.72,789.13,796.25,792.82,785.92,815.71,742.05,771.01,,739.81,771.14,778.54,869.67,752.67
20_HCN_2,2240.6,,2124.35,2248.18,2265.5,2266.37,2242.57,2315.54,2121.0,2210.76,,2108.1,2199.75,2226.18,2421.15,2116.37
20_HCN_3,3493.25,,3481.42,3486.87,3499.71,3558.85,3528.33,3549.75,3389.44,3465.61,,3376.98,3463.42,3489.8,3645.26,3499.81
25_NH3_0,1130.41,,1143.47,1102.38,1109.97,1102.77,1136.66,1143.64,1114.91,1121.67,,1120.3,1123.19,1124.26,1197.36,1153.49
25_NH3_1,1678.15,,1687.01,1672.53,1682.07,1693.45,1703.25,1723.91,1629.83,1671.33,,1638.35,1672.42,1674.14,1797.85,1697.02
25_NH3_2,1686.71,,1687.2,1672.65,1682.18,1693.59,1703.37,1724.2,1629.89,1671.5,,1638.43,1672.53,1674.25,1798.07,1697.22
25_NH3_3,3488.96,,3453.21,3462.51,3486.37,3568.28,3513.28,3555.55,3326.27,3443.13,,3285.84,3413.18,3467.58,3674.06,3485.48
25_NH3_4,3614.74,,3576.82,3579.66,3605.28,3698.39,3633.95,3673.78,3447.8,3559.62,,3395.22,3527.23,3593.6,3794.13,3614.29
25_NH3_5,3615.29,,3576.96,3579.74,3605.36,3698.47,3634.03,3674.01,3447.87,3559.71,,3395.28,3527.31,3593.67,3794.31,3614.44
08_ClCN_0,407.53,,388.34,409.13,410.02,417.07,404.73,416.33,390.14,394.52,,381.68,399.03,408.6,446.52,387.36
08_ClCN_1,407.53,,388.34,409.13,410.02,417.07,404.73,416.33,390.14,394.52,,381.68,399.03,408.6,446.52,387.36
08_ClCN_2,772.57,,748.89,764.88,772.92,797.61,769.03,775.21,738.88,755.58,,709.96,745.95,774.17,799.46,756.46
08_ClCN_3,2372.95,,2235.54,2375.57,2403.97,2396.07,2370.98,2459.04,2221.06,2340.06,,2197.32,2310.19,2347.89,2585.01,2233.17
17_H2O_0,1668.29,,1673.16,1652.6,1662.73,1668.7,1684.68,1705.62,1626.36,1658.94,,1629.45,1658.42,1664.84,1775.98,1683.61
17_H2O_1,3851.71,,3801.59,3796.22,3827.08,3925.54,3869.53,3942.8,3647.15,3784.98,,3589.77,3748.21,3825.64,4113.94,3845.34
17_H2O_2,3956.54,,3909.98,3897.64,3928.3,4032.51,3972.36,4041.79,3753.24,3886.3,,3691.81,3849.49,3930.45,4212.23,3956.11
24_N2_0,2504.79,,2345.58,2507.61,2530.21,2524.55,2501.24,2601.2,2355.53,2455.56,,2331.4,2452.99,2494.58,2758.51,2331.17
23_HOCl_0,766.98,,721.44,762.78,780.24,797.81,762.64,795.01,706.04,762.08,,670.9,720.5,758.89,828.74,732.53
23_HOCl_1,1270.96,,1247.07,1255.69,1269.45,1271.81,1275.05,1307.27,1198.83,1255.95,,1191.08,1240.73,1255.59,1368.97,1258.31
23_HOCl_2,3812.82,,3752.38,3762.77,3799.25,3873.39,3829.9,3923.09,3595.22,3747.91,,3544.57,3710.47,3784.68,4108.68,3794.2
29_SiO_0,1268.17,,1178.33,1273.46,1288.67,1282.99,1263.34,1313.24,1166.76,1254.97,,1158.62,1228.42,1247.3,1374.15,1185.02
22_HNO_0,1599.88,,1551.13,1572.7,1588.64,1593.34,1593.02,1635.16,1495.13,1565.01,,1480.69,1553.99,1572.86,1714.05,1561.84
22_HNO_1,1759.44,,1620.15,1742.34,1770.0,1783.48,1745.01,1834.6,1614.03,1706.83,,1566.75,1682.02,1745.88,1974.28,1625.08
22_HNO_2,2894.82,,2844.56,2847.85,2912.26,2936.07,2922.36,3060.58,2522.24,2844.58,,2484.99,2739.16,2818.79,3285.93,2919.8
